company,companyLabel,productTypeLabel,countryLabel,hqLabel,hqCoord,foundingYearShort
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,кофе,Индия,Мумбаи,Point(72.8775 19.075833333),1924
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,чай,Канада,Ванкувер,Point(-123.113888888 49.260833333),1924
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,чай,Канада,Мумбаи,Point(72.8775 19.075833333),1924
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,чай,Индия,Ванкувер,Point(-123.113888888 49.260833333),1924
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,чай,Индия,Мумбаи,Point(72.8775 19.075833333),1924
http://www.wikidata.org/entity/Q37158,Starbucks,кофе,США,Сиэтл,Point(-122.336 47.580888888),1971
http://www.wikidata.org/entity/Q6743380,Maliban Biscuit Manufactories Limited,чай,Шри-Ланка,Ratmalana,Point(79.88611111 6.82194444),1954
http://www.wikidata.org/entity/Q6844142,Mighty Leaf Tea,чай,,Сан-Рафел,Point(-122.530833333 37.973333333),2000
http://www.wikidata.org/entity/Q6850057,Miko Coffee,кофе,,Тюрнхаут,Point(4.933333333 51.316666666),1801
http://www.wikidata.org/entity/Q6885821,mmmuffins,кофе,,,,1979
http://www.wikidata.org/entity/Q6932113,Mugg & Bean,кофе,ЮАР,Йоханнесбург,Point(28.041638888 -26.204361111),1996
