tea,teaLabel,type,typeLabel,country,countryLabel,processingMethod,processingMethodLabel,subclass,subclassLabel,image
http://www.wikidata.org/entity/Q109325576,Kakegawa tea,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q11663583,Shizuoka tea,http://commons.wikimedia.org/wiki/Special:FilePath/Fukamushi%20Kakegawa%20Cha%20201812mid.jpg
http://www.wikidata.org/entity/Q1195324,кукурузный чай,,,,,,,http://www.wikidata.org/entity/Q111028971,seed tea,
http://www.wikidata.org/entity/Q11379123,Q11379123,,,,,,,http://www.wikidata.org/entity/Q11509025,японский чай,
http://www.wikidata.org/entity/Q10636666,Q10636666,,,,,,,http://www.wikidata.org/entity/Q5100949,китайский чай,
http://www.wikidata.org/entity/Q6449330,arrowroot tea,,,,,,,http://www.wikidata.org/entity/Q379932,фиточай,
http://www.wikidata.org/entity/Q39553,sujeonggwa,,,,,,,http://www.wikidata.org/entity/Q111029089,корейский фруктовый чай,http://commons.wikimedia.org/wiki/Special:FilePath/Korean%20fruit%20punch-Sujeonggwa-02.jpg
http://www.wikidata.org/entity/Q97259879,Burmese milk tea,,,http://www.wikidata.org/entity/Q836,Мьянма,,,http://www.wikidata.org/entity/Q1884224,чай с молоком,
http://www.wikidata.org/entity/Q28687780,Q28687780,,,,,,,http://www.wikidata.org/entity/Q11627781,Nishio Tea,
http://www.wikidata.org/entity/Q29944733,persimmon leaf tea,,,http://www.wikidata.org/entity/Q18097,Корея,,,http://www.wikidata.org/entity/Q111029394,Korean flower and leaf tea,http://commons.wikimedia.org/wiki/Special:FilePath/Gamnip-cha%202.jpg
http://www.wikidata.org/entity/Q131300316,bubble tea brand,,,,,,,http://www.wikidata.org/entity/Q105975861,tea brand,
http://www.wikidata.org/entity/Q131903446,Q131903446,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q11509025,японский чай,
http://www.wikidata.org/entity/Q1070040,Цзюньшань Иньчжэнь,,,,,,,http://www.wikidata.org/entity/Q824529,жёлтый чай,http://commons.wikimedia.org/wiki/Special:FilePath/Yinzhen.jpg
http://www.wikidata.org/entity/Q824529,жёлтый чай,,,http://www.wikidata.org/entity/Q29520,Китай,,,http://www.wikidata.org/entity/Q2542583,Постферментированный чай,http://commons.wikimedia.org/wiki/Special:FilePath/Yellow%20tea.jpg
http://www.wikidata.org/entity/Q115604898,Q115604898,,,,,,,http://www.wikidata.org/entity/Q2542583,Постферментированный чай,http://commons.wikimedia.org/wiki/Special:FilePath/Puer%20tea%2C%20Rostov-on-Don%2C%20Russia.jpg
http://www.wikidata.org/entity/Q30595699,maesil-cha,,,,,,,http://www.wikidata.org/entity/Q744457,фруктовый чай,
http://www.wikidata.org/entity/Q3174775,Teh Tarik,,,http://www.wikidata.org/entity/Q833,Малайзия,,,http://www.wikidata.org/entity/Q1884224,чай с молоком,http://commons.wikimedia.org/wiki/Special:FilePath/Teh%20Tarik.jpg
http://www.wikidata.org/entity/Q11267938,Q11267938,,,,,,,http://www.wikidata.org/entity/Q11509025,японский чай,
http://www.wikidata.org/entity/Q1074092,коричневый рисовый чай,,,,,,,http://www.wikidata.org/entity/Q111028971,seed tea,
http://www.wikidata.org/entity/Q715858,Чай с шариками,,,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),,,http://www.wikidata.org/entity/Q1884224,чай с молоком,http://commons.wikimedia.org/wiki/Special:FilePath/Bubble%20Tea.png
http://www.wikidata.org/entity/Q11270489,buckwheat tea,,,,,,,http://www.wikidata.org/entity/Q111028971,seed tea,
http://www.wikidata.org/entity/Q11525024,Tokyo Sayama tea,,,,,,,http://www.wikidata.org/entity/Q7429107,Sayama tea,
http://www.wikidata.org/entity/Q17191279,Q17191279,,,,,,,http://www.wikidata.org/entity/Q11509025,японский чай,
http://www.wikidata.org/entity/Q30043825,чай из сосновых иголок,,,,,,,http://www.wikidata.org/entity/Q111029394,Korean flower and leaf tea,http://commons.wikimedia.org/wiki/Special:FilePath/Sollip-cha.jpg
http://www.wikidata.org/entity/Q11264327,Q11264327,,,,,,,http://www.wikidata.org/entity/Q5032638,Canned tea,
http://www.wikidata.org/entity/Q122961540,koicha,,,,,,,http://www.wikidata.org/entity/Q85209885,Маття,http://commons.wikimedia.org/wiki/Special:FilePath/Bamboo%20chasen%20to%20whisk%20koicha%20%2815455038443%29.jpg
http://www.wikidata.org/entity/Q11390756,Yamecha,,,,,,,http://www.wikidata.org/entity/Q484083,зелёный чай,
http://www.wikidata.org/entity/Q11617958,tea without tea leaves,,,,,,,http://www.wikidata.org/entity/Q6097,чай,
http://www.wikidata.org/entity/Q56316357,May Tea,,,http://www.wikidata.org/entity/Q142,Франция,,,http://www.wikidata.org/entity/Q348958,холодный чай,http://commons.wikimedia.org/wiki/Special:FilePath/May%20Tea%20%2843441414151%29.jpg
http://www.wikidata.org/entity/Q3409048,Q3409048,,,,,,,,,
http://www.wikidata.org/entity/Q28162884,Libyan tea,,,http://www.wikidata.org/entity/Q1016,Ливия,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Libyan%20green%20tea.jpg
http://www.wikidata.org/entity/Q124606580,Irimushi,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q1334390,сентя,
http://www.wikidata.org/entity/Q11678540,Black Oolong Tea,,,,,,,http://www.wikidata.org/entity/Q231587,Улун,
http://www.wikidata.org/entity/Q30043860,doncha,,,http://www.wikidata.org/entity/Q18097,Корея,,,http://www.wikidata.org/entity/Q1204167,плиточный чай,
http://www.wikidata.org/entity/Q85209885,Маття,,,http://www.wikidata.org/entity/Q29520,Китай,,,http://www.wikidata.org/entity/Q11509025,японский чай,http://commons.wikimedia.org/wiki/Special:FilePath/Matcha%20%286328677556%29.jpg
http://www.wikidata.org/entity/Q11574844,Nama-cha,,,,,,,http://www.wikidata.org/entity/Q484083,зелёный чай,
http://www.wikidata.org/entity/Q203540,мате,,,http://www.wikidata.org/entity/Q733,Парагвай,,,http://www.wikidata.org/entity/Q379932,фиточай,http://commons.wikimedia.org/wiki/Special:FilePath/Erva%20mate%20chimarrao%20in%20big%20cuia.jpg
